"cantidad de llamados", "tiempo"
170403,5.59853e+08
30996,9.42372e+07
60168,1.64959e+08
18054,5.9709e+07
129935,3.4655e+08
184101,4.93299e+08
239950,6.03296e+08
177874,4.43349e+08
139845,3.9176e+08
89002,2.23369e+08
39244,1.02764e+08
21191,5.18259e+07
144604,4.08133e+08
157424,4.19584e+08
77259,2.37974e+08
179751,4.79368e+08
41980,1.01278e+08
123682,3.70773e+08
141619,3.51599e+08
523359,1.21839e+09
75021,2.29964e+08
60141,1.36736e+08
77046,2.36377e+08
60739,1.76999e+08
174982,4.90445e+08
14220,4.27807e+07
26678,6.70594e+07
61769,1.38089e+08
30166,7.44282e+07
24756,6.624e+07
156182,3.97881e+08
88587,2.51964e+08
21478,6.73401e+07
60696,1.89618e+08
414058,1.11883e+09
42951,1.14037e+08
136323,3.49462e+08
63782,1.88946e+08
20246,5.64495e+07
135220,3.63861e+08
76613,2.10121e+08
18917,4.78279e+07
69492,1.74668e+08
30881,8.04128e+07
62922,2.06013e+08
146762,3.99976e+08
23880,6.12162e+07
81101,2.41503e+08
121463,3.29259e+08
32979,9.25418e+07
