1;1458;
2;300;
3;300;
4;311;
5;311;
6;296;
7;290;
8;291;
9;386;
10;295;
11;291;
12;305;
13;291;
14;286;
15;285;
16;290;
17;301;
18;285;
19;280;
20;291;
21;281;
22;271;
23;281;
24;281;
25;300;
26;280;
27;281;
28;275;
29;296;
30;286;
31;276;
32;280;
33;551;
34;275;
35;326;
36;281;
37;271;
38;286;
39;286;
40;276;
41;827;
42;1018;
43;637;
44;286;
45;285;
46;641;
47;391;
48;561;
49;326;
50;446;
51;436;
52;376;
53;396;
54;556;
55;436;
56;436;
57;411;
58;461;
59;381;
60;218;
61;129;
62;563;
63;563;
64;387;
65;299;
66;223;
67;228;
68;124;
69;129;
70;136;
71;157;
72;150;
73;184;
74;140;
75;107;
76;99;
77;97;
78;132;
79;141;
80;123;
81;238;
82;126;
83;298;
84;189;
85;119;
86;137;
87;126;
88;115;
89;114;
90;119;
91;229;
92;124;
93;198;
94;139;
95;160;
96;150;
97;130;
98;133;
99;172;
100;266;
