1;17881;
2;5562;
3;1959;
4;2275;
5;2055;
6;2351;
7;2380;
8;2450;
9;2435;
10;2681;
11;3332;
12;3047;
13;3363;
14;3894;
15;3769;
16;3759;
17;7748;
18;6625;
19;7086;
20;5964;
21;6455;
22;6905;
23;7497;
24;6750;
25;7732;
26;7863;
27;7722;
28;7367;
29;7612;
30;7853;
31;10929;
32;8965;
33;9115;
34;8865;
35;10730;
36;14487;
37;12964;
38;13640;
39;14247;
40;13501;
41;13210;
42;14548;
43;14192;
44;14789;
45;13866;
46;13957;
47;13746;
48;14518;
49;14773;
50;15701;
51;16748;
52;16532;
53;16337;
54;17565;
55;17024;
56;16347;
57;17415;
58;17840;
59;18201;
60;17605;
61;17976;
62;18562;
63;19991;
64;20462;
65;18682;
66;19369;
67;18201;
68;19865;
69;20436;
70;20276;
71;21399;
72;23970;
73;25924;
74;27949;
75;26621;
76;27653;
77;29688;
78;29311;
79;30369;
80;28880;
81;30209;
82;28129;
83;28540;
84;30294;
85;32859;
86;31226;
87;29682;
88;31586;
89;33075;
90;32077;
91;29797;
92;31797;
93;33155;
94;33767;
95;32924;
96;32423;
97;31677;
98;31456;
99;34433;
100;32784;
